,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,GarageFinish,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
0,6,1710,2,2,548,2,856,856,2,2,1,8,2003,2003,196.0,208500
1,5,1262,2,3,460,2,1262,1262,3,2,1,6,1976,1976,0.0,181500
2,6,1786,2,2,608,2,920,920,2,2,1,6,2001,2002,162.0,223500
3,6,1717,3,3,642,3,756,961,2,1,2,7,1915,1970,0.0,140000
4,7,2198,3,2,836,2,1145,1145,2,2,1,9,2000,2000,350.0,250000
5,4,1362,2,3,480,2,796,796,3,1,2,5,1993,1995,0.0,143000
7,6,2090,2,3,484,2,1107,1107,3,2,1,7,1973,1973,240.0,200000
8,6,1774,2,3,468,3,952,1022,3,2,2,8,1931,1950,0.0,129900
9,4,1077,1,3,205,3,991,1077,3,1,1,5,1939,1950,0.0,118000
10,4,1040,1,3,384,3,1040,1040,3,1,2,5,1965,1965,0.0,129500
12,4,912,1,3,352,3,912,912,3,1,2,4,1962,1962,0.0,144000
13,6,1494,3,2,840,2,1494,1494,2,2,1,7,2006,2007,306.0,279500
14,5,1253,1,3,352,3,1253,1253,3,1,1,5,1960,1960,212.0,157000
15,6,854,2,3,576,3,832,854,3,1,2,5,1929,2001,0.0,132000
16,5,1004,2,3,480,3,1004,1004,3,1,0,5,1970,1970,180.0,149000
18,4,1114,2,3,576,3,1114,1114,2,1,2,6,2004,2004,0.0,159000
19,4,1339,1,3,294,3,1029,1339,3,1,2,6,1958,1965,0.0,139000
21,6,1108,1,3,280,3,637,1108,2,1,2,6,1930,1950,0.0,139400
22,7,1795,2,2,534,2,1777,1795,2,2,1,7,2002,2002,281.0,230000
23,4,1060,2,3,572,2,1040,1060,3,1,2,6,1976,1976,0.0,129900
24,4,1060,1,3,270,3,1060,1060,2,1,2,6,1968,2001,0.0,154000
26,4,900,2,3,576,3,900,900,2,1,2,5,1951,2000,0.0,134800
28,4,1600,1,3,319,3,1484,1600,3,1,1,6,1957,1997,0.0,207500
29,3,520,1,3,240,3,520,520,1,1,2,4,1927,1950,0.0,68500
30,3,1317,1,3,250,3,649,649,3,1,2,6,1920,1950,0.0,40000
31,4,1228,1,3,271,3,1228,1228,2,1,2,6,1966,2006,0.0,149350
33,4,1700,2,3,447,3,1398,1700,2,1,1,6,1959,1959,0.0,165500
36,4,1097,2,3,672,2,1097,1097,3,1,2,6,1994,1995,0.0,145000
38,4,1057,1,3,246,3,1057,1057,2,1,2,5,1953,2007,0.0,109000
40,5,1324,2,3,440,3,1088,1324,3,2,1,6,1965,1965,101.0,160000
41,4,1328,1,3,308,3,1350,1328,3,1,1,5,1959,1959,0.0,170000
42,4,884,2,3,504,2,840,884,2,1,1,5,1983,1983,0.0,144000
43,4,938,1,3,308,2,938,938,3,1,2,5,1975,1980,0.0,130250
44,4,1150,1,3,300,3,1150,1150,3,1,1,6,1959,1959,0.0,141000
47,7,1656,3,2,826,2,1656,1656,2,2,1,7,2006,2006,0.0,249700
48,3,1452,0,3,0,3,736,736,3,2,3,8,1920,2008,0.0,113000
49,4,955,1,3,386,3,955,955,3,1,2,6,1966,1966,0.0,127000
50,5,1470,2,3,388,2,794,794,3,2,0,6,1997,1997,0.0,177000
51,5,1176,2,3,528,3,816,816,3,1,2,6,1934,1950,0.0,114500
52,4,816,2,1,516,2,816,816,3,1,2,5,1963,1963,0.0,110000
54,4,1360,2,3,572,3,384,1360,3,1,2,6,1955,1955,0.0,130000
55,5,1425,2,3,576,3,1425,1425,3,2,1,7,1964,1964,272.0,180500
57,6,1720,2,2,565,2,860,860,2,2,1,7,2004,2004,0.0,196500
59,4,780,1,3,352,3,780,780,3,1,2,4,1972,1972,0.0,124900
60,5,1158,2,3,576,2,1158,1158,2,1,2,5,2004,2004,0.0,158000
61,4,1111,1,3,288,3,530,581,1,1,2,6,1920,1996,0.0,101000
62,7,1370,2,2,484,2,1370,1370,2,2,1,6,2006,2006,178.0,202500
63,6,1710,2,3,480,3,576,902,3,2,2,9,1921,1950,0.0,140000
67,6,1479,2,2,558,2,1453,1479,2,2,1,7,2003,2003,167.0,226000
68,3,747,1,3,220,3,747,747,3,1,2,4,1945,1950,0.0,80000
69,6,2287,2,2,667,3,1304,1304,3,2,0,7,1953,1953,0.0,225000
71,3,845,2,3,360,3,845,845,3,1,2,4,1982,2006,0.0,129500
72,6,1718,2,3,427,2,832,885,3,2,0,7,1998,1998,40.0,185000
73,4,1086,2,3,490,3,1086,1086,3,1,2,6,1954,2003,104.0,144900
74,2,1605,1,2,379,1,840,840,3,2,2,8,1915,1950,0.0,107400
75,3,988,1,3,297,2,462,526,3,1,2,5,1973,1973,0.0,91000
76,3,952,1,3,283,3,952,952,3,1,2,4,1956,1956,0.0,135750
77,4,1285,1,3,240,3,672,1072,3,1,2,6,1948,2001,0.0,127000
78,3,1768,0,3,0,3,1768,1768,3,2,3,8,1968,1968,0.0,136500
79,4,1230,2,3,440,3,440,682,3,1,2,5,1910,1981,0.0,110000
83,4,1065,2,3,461,3,1065,1065,3,1,2,6,1960,1960,66.0,126500
84,6,1474,2,3,400,2,384,804,3,2,0,7,1995,1996,22.0,168500
85,7,2417,2,2,462,2,1288,1301,2,2,2,9,1991,1992,284.0,260000
86,5,1560,2,2,400,2,684,684,2,2,0,6,2005,2005,0.0,174000
87,5,1224,2,2,528,2,612,612,2,2,1,4,2009,2009,76.0,164500
88,2,1526,0,1,0,3,1013,1013,1,1,3,6,1915,1982,0.0,85000
89,3,990,0,3,0,2,990,990,3,1,3,5,1994,1995,0.0,123600
91,4,1235,2,3,480,3,1235,1235,3,1,2,6,1961,1961,203.0,98600
92,4,964,2,3,432,2,876,964,3,1,2,5,1921,2006,0.0,163500
93,5,2291,2,3,506,3,1214,1260,3,2,2,9,1910,1998,0.0,133900
94,5,1786,2,3,684,2,824,905,2,2,1,7,1997,1997,0.0,204750
96,6,1588,2,2,472,2,1588,1588,2,2,1,6,1999,1999,183.0,214000
97,3,960,1,3,432,3,960,960,3,1,0,6,1965,1965,48.0,94750
98,4,835,1,3,366,3,458,835,3,1,2,5,1920,1950,0.0,83000
99,3,1225,0,3,0,3,950,1225,3,1,3,6,1959,1959,0.0,128950
100,5,1610,2,3,480,3,1610,1610,2,2,1,6,1977,2001,28.0,205000
101,5,1732,2,2,476,2,741,977,2,2,0,7,1985,1985,336.0,178000
103,6,1226,3,3,740,2,1226,1226,2,2,1,6,2009,2009,0.0,198900
106,3,1047,1,3,273,1,641,1047,3,1,2,6,1885,1995,0.0,100000
107,4,789,1,3,250,3,789,789,3,1,2,5,1948,1950,0.0,115000
108,4,1517,0,3,0,3,793,997,1,2,3,7,1919,2005,0.0,115000
110,5,1855,1,3,325,3,994,1216,3,2,2,7,1954,1972,0.0,136900
111,6,1430,2,3,400,2,384,774,3,2,0,7,2000,2000,0.0,180000
114,5,2320,1,3,180,3,1028,1436,2,2,2,9,1945,2002,0.0,259500
116,4,1092,1,3,288,3,1092,1092,3,1,2,6,1962,1962,116.0,139000
117,4,1125,2,3,430,2,1125,1125,3,1,2,5,2006,2007,0.0,155000
119,5,1456,2,2,390,2,728,728,2,2,0,8,2005,2006,0.0,163990
120,5,988,2,3,540,3,938,988,3,1,2,4,1969,1969,0.0,180000
121,3,1123,1,3,264,3,732,772,3,1,2,4,1939,1950,0.0,100000
122,5,1080,1,3,288,3,1080,1080,3,1,2,5,1958,1958,135.0,136000
123,5,1199,2,2,530,2,1199,1199,2,2,1,5,1993,1993,0.0,153900
124,5,1586,2,3,435,2,1362,1586,3,2,2,7,1979,1998,0.0,181000
125,5,754,0,3,0,3,520,520,3,1,3,5,1935,1982,0.0,84500
126,5,958,2,3,440,2,1078,958,3,2,1,5,1976,1976,0.0,128000
127,4,840,0,3,0,3,672,840,3,1,3,5,1930,1950,0.0,87000
128,5,1348,2,3,453,3,660,660,3,1,1,6,1966,1966,266.0,155000
130,6,2157,2,3,487,3,924,1216,2,2,0,8,1966,1966,309.0,226000
131,5,2054,2,2,390,2,992,1022,2,2,1,7,2000,2000,40.0,244000
132,4,1327,2,3,624,3,1063,1327,2,1,2,7,1959,2002,0.0,150750
134,4,1721,2,3,440,3,1461,1721,3,2,1,7,1968,1993,0.0,180000
135,6,1682,2,3,530,3,1304,1682,3,2,2,7,1970,1970,288.0,174000
136,4,1214,1,3,318,3,1214,1214,3,2,1,5,1967,1967,196.0,143000
137,6,1959,3,3,766,3,1907,1959,3,3,2,9,1988,1989,70.0,171000
138,7,1852,3,2,660,2,1004,1004,2,2,0,7,1999,2000,320.0,230000
139,5,1764,2,3,470,2,928,928,2,2,1,7,1997,1997,0.0,231500
140,3,864,0,3,0,3,864,864,3,1,3,5,1971,1971,0.0,115000
141,6,1734,2,2,660,2,1734,1734,2,2,0,7,2005,2005,0.0,260000
142,4,1385,2,3,720,3,910,910,3,2,2,6,1952,1952,0.0,166000
143,6,1501,2,2,577,2,1490,1501,2,2,1,6,1999,1999,183.0,204000
144,4,1728,2,3,504,3,1728,1728,3,2,2,10,1963,1963,336.0,125000
145,5,1709,2,2,380,2,970,970,2,2,2,7,2004,2006,50.0,130000
146,4,875,1,3,180,3,715,875,3,1,2,5,1931,1993,0.0,105000
147,6,2035,2,2,434,2,884,884,2,2,0,8,2001,2001,180.0,222500
148,6,1080,0,3,0,2,1080,1080,2,1,3,6,2004,2005,120.0,141000
149,4,1344,1,3,240,2,896,896,3,1,2,7,1936,1950,0.0,115000
150,4,969,2,3,440,3,969,969,3,1,2,5,1975,1975,0.0,122000
152,5,1993,2,3,495,3,825,1097,3,2,1,8,1971,1971,252.0,190000
153,5,1252,2,3,564,2,1602,1252,3,1,1,4,1960,1975,0.0,235000
154,5,1200,1,3,312,3,1200,1200,3,1,2,7,1923,1950,0.0,125000
155,5,1096,0,3,0,3,572,572,3,1,3,5,1924,1950,0.0,79000
158,6,1947,2,2,678,2,991,991,2,2,1,8,2004,2005,0.0,254900
160,5,1232,2,3,516,2,1232,1232,3,2,2,6,1984,1984,0.0,162500
162,6,1541,2,2,532,2,1541,1541,2,2,1,7,2005,2005,226.0,220000
163,3,882,0,3,0,3,882,882,3,1,3,4,1956,1956,0.0,103200
164,5,1616,1,3,216,3,1149,1149,2,2,2,5,1926,2004,0.0,152000
165,4,1355,0,3,0,3,644,808,3,2,3,6,1940,1999,0.0,127500
166,4,1867,1,2,303,3,1617,1867,3,1,0,7,1955,1993,0.0,190000
168,6,1720,2,2,440,2,840,840,2,2,0,7,2004,2004,0.0,183500
170,4,1382,2,3,660,3,720,854,3,1,2,7,1941,1950,0.0,128500
171,5,1656,2,3,528,3,1080,1656,3,1,0,7,1960,1960,112.0,215000
172,6,1767,2,2,504,2,1064,1064,2,2,1,5,1987,1987,0.0,239000
174,5,1651,2,3,616,2,1606,1651,3,2,0,7,1986,1986,132.0,184000
176,5,2060,2,2,521,2,1151,1164,3,2,2,8,1988,1989,268.0,211000
177,4,1920,2,2,451,3,1052,1252,2,2,2,8,1958,1958,0.0,172500
179,4,968,2,2,480,3,968,968,3,1,2,5,1923,2006,0.0,100000
181,6,1802,1,3,216,1,793,901,3,1,2,9,1920,1950,0.0,200100
183,6,2082,2,3,484,2,1362,1362,2,2,2,6,2003,2003,0.0,200000
184,4,1252,2,3,576,1,504,936,3,1,2,5,1908,1991,0.0,127000
186,6,1217,2,3,497,2,1188,1217,2,2,2,6,1990,1991,0.0,173000
187,4,1656,1,3,180,1,660,808,3,2,2,8,1916,1987,0.0,135000
188,4,1224,2,3,528,2,1086,1224,3,0,2,6,1979,1979,275.0,153337
190,7,2727,2,2,440,2,853,1549,2,2,2,10,1932,1994,0.0,315000
191,6,1479,2,3,484,3,725,725,2,1,0,7,1972,2004,138.0,184000
192,6,1431,2,2,666,2,1431,1431,2,2,0,6,1999,1999,0.0,192000
193,6,1709,2,2,380,2,970,970,2,2,2,7,2004,2004,50.0,130000
194,4,864,1,3,352,3,864,864,3,1,2,5,1972,1972,0.0,127000
195,5,1456,2,3,440,2,855,855,3,2,2,7,1976,1976,0.0,148500
198,5,2229,0,3,0,3,755,929,3,1,3,8,1912,1950,0.0,104000
200,3,1121,2,3,440,2,1121,1121,3,2,1,5,2003,2004,0.0,140000
201,5,1279,2,3,473,3,1196,1279,3,2,2,6,1977,1977,0.0,171500
202,5,1310,1,3,398,1,617,865,3,2,2,6,1924,1950,0.0,112000
203,5,848,2,2,420,2,848,848,2,1,1,3,2004,2004,205.0,149000
204,4,1284,1,3,240,3,720,720,3,1,2,5,1947,1950,0.0,110000
205,6,1442,2,3,500,2,1424,1442,3,2,1,5,1990,1990,0.0,180500
206,4,1696,1,3,349,3,1140,1696,3,1,1,8,1962,1962,0.0,143900
207,3,1100,1,3,312,3,1100,1100,3,1,1,6,1960,1960,0.0,141000
208,6,2062,2,2,454,2,1157,1180,3,2,0,7,1988,1989,128.0,277000
209,5,1092,2,3,504,2,1092,1092,3,1,1,6,1964,1964,260.0,145000
210,4,864,0,3,0,3,864,864,3,1,3,5,1925,1950,0.0,98000
211,5,1212,2,3,460,2,1212,1212,2,2,1,6,2009,2009,0.0,186000
212,6,1852,2,3,644,2,900,932,2,2,1,7,2009,2009,0.0,252678
213,4,990,2,3,576,2,990,990,3,1,2,5,1995,1995,0.0,156000
214,5,1392,1,3,299,2,689,689,3,1,0,6,1977,1977,153.0,161750
215,4,1236,1,3,447,3,1070,1236,2,1,2,6,1957,1996,64.0,134450
216,6,1436,2,2,484,2,1436,1436,2,2,2,8,2004,2004,266.0,210000
217,3,1328,1,3,210,3,686,810,3,1,2,8,1925,1950,0.0,107000
218,6,1954,2,2,431,3,798,1137,2,1,2,8,1939,2006,312.0,311500
219,6,1248,2,2,438,2,1248,1248,2,2,0,5,2005,2006,16.0,167240
220,6,1498,2,2,675,2,1498,1498,2,2,1,5,2006,2006,0.0,204900
221,5,2267,2,2,390,2,1010,1010,2,2,1,8,2002,2002,0.0,200000
222,5,1552,2,3,434,2,713,811,3,2,1,6,1975,1975,0.0,179900
223,3,864,2,3,576,3,864,864,3,1,2,4,1971,1971,0.0,97000
225,4,1302,1,3,280,3,630,630,3,2,2,6,1971,1971,142.0,112000
226,6,2520,3,2,721,2,1203,1214,2,2,1,9,1995,1995,290.0,290000
227,5,987,1,3,280,3,483,483,3,1,2,5,1970,1970,127.0,106000
228,4,912,1,3,336,3,912,912,3,1,2,5,1967,1967,0.0,125000
229,6,1555,2,2,430,2,1373,1555,2,2,0,7,2005,2006,16.0,192500
230,5,1194,1,3,312,3,1194,1194,3,1,1,6,1959,1959,220.0,148000
232,5,987,1,3,288,3,483,483,3,1,2,5,1972,1972,297.0,94500
233,4,894,1,3,308,3,894,894,3,1,2,5,1976,1976,0.0,128200
234,5,1960,2,2,440,2,860,860,2,2,0,8,2002,2002,103.68526170798899,216500
236,6,1414,2,2,494,2,1414,1414,2,2,1,6,2004,2004,98.0,185500
237,6,1744,2,2,457,2,996,1014,2,2,1,7,1993,2003,0.0,194500
239,5,1487,1,3,220,3,735,798,3,1,2,7,1945,1950,0.0,113000
240,7,1566,2,2,750,2,1566,1566,2,2,1,7,2008,2008,36.0,262500
241,4,866,0,3,0,3,686,866,2,1,3,4,1945,1997,0.0,110500
242,4,1440,1,3,352,3,540,889,3,1,2,6,1900,1950,0.0,79000
243,5,1217,1,3,288,2,626,626,3,1,1,6,1980,1980,0.0,120000
244,6,2110,2,2,463,2,948,1222,2,2,1,8,1994,2002,0.0,205000
245,6,1872,2,3,604,2,1845,1872,3,2,0,6,1988,1988,102.0,241500
246,5,1928,1,3,440,1,1020,908,1,2,2,9,1910,1950,0.0,137000
247,5,1375,2,3,451,3,1367,1375,3,1,2,5,1954,1954,0.0,140000
248,6,1668,2,2,500,2,840,840,2,2,1,8,2003,2003,101.0,180000
250,2,1306,0,3,0,3,728,1306,1,1,3,6,1940,1966,0.0,76500
252,5,1640,2,2,520,2,798,798,2,2,1,6,2004,2004,0.0,173000
253,5,1302,1,3,309,2,1302,1302,2,2,1,7,1964,1991,108.0,158000
254,4,1314,1,3,294,3,1314,1314,3,1,1,5,1957,1957,0.0,145000
255,6,2291,2,2,429,2,975,1005,2,2,0,8,1999,1999,302.0,230000
256,5,1728,2,2,673,2,864,864,2,2,1,7,2003,2003,0.0,207500
257,6,1604,2,2,660,2,1604,1604,2,2,1,8,2006,2006,180.0,220000
258,6,1792,2,2,564,2,963,963,2,2,1,7,2001,2001,172.0,231500
260,5,1382,2,3,884,3,1362,1382,3,1,2,6,1962,1962,399.0,176000
262,5,1212,2,3,492,2,506,1212,3,1,2,6,1977,1995,46.0,151000
263,4,1316,2,3,484,3,926,926,3,1,2,6,1929,2001,0.0,130000
264,4,764,2,3,504,1,680,764,3,1,2,4,1925,2004,0.0,73000
265,5,1422,2,3,576,2,1422,1422,2,2,0,7,1981,1981,210.0,175500
266,5,1511,2,3,413,2,802,802,3,2,0,8,1997,1997,0.0,185000
267,4,2192,1,3,240,3,720,1052,2,2,2,8,1939,1997,0.0,179500
268,4,778,1,3,924,3,740,778,3,1,0,4,1940,1955,0.0,120500
269,5,1113,1,3,504,3,1143,1113,3,1,1,6,1976,1976,174.0,148000
271,6,1363,2,3,439,2,1385,1363,3,1,2,5,1954,2005,0.0,241500
272,7,2270,3,2,671,2,1152,1164,2,2,0,9,1999,2007,348.0,290000
273,5,1632,1,3,338,3,1240,1632,3,2,1,6,1958,1988,183.0,139000
274,4,816,1,3,264,3,816,816,3,1,2,5,1982,1982,0.0,124500
277,3,864,2,3,400,3,864,864,3,1,2,4,1951,1951,0.0,141000
279,6,2022,2,3,505,2,1160,1156,3,2,0,8,1977,1977,299.0,192000
280,6,1982,2,2,575,2,807,1175,2,2,0,7,1989,1989,340.0,228500
281,5,1262,2,2,572,2,1262,1262,2,2,0,5,2006,2006,68.0,185000
282,6,1314,2,2,626,2,1314,1314,2,2,1,6,2007,2008,166.0,207500
283,7,1468,3,2,898,2,1468,1468,2,2,0,6,2008,2009,72.0,244600
284,5,1575,2,2,529,2,1575,1575,2,2,1,5,1992,1992,0.0,179200
285,6,1250,2,2,528,2,625,625,2,2,1,5,2006,2007,0.0,164700
286,5,1734,2,3,440,3,912,1085,2,1,1,7,1962,1981,0.0,159000
287,3,858,0,3,0,3,858,858,3,1,3,5,1971,1971,0.0,88000
288,4,900,1,3,280,3,882,900,3,1,2,5,1967,1967,31.0,122000
289,5,1396,1,3,384,3,698,698,3,1,2,7,1915,2003,0.0,153575
290,7,1919,2,2,685,2,1079,1079,2,2,1,8,2006,2006,0.0,233230
291,4,1716,0,3,0,3,780,936,1,2,3,9,1912,2000,0.0,135900
292,4,1716,1,3,281,3,768,1148,3,1,2,8,1949,2008,0.0,131000
293,6,2263,2,3,539,3,795,1468,2,2,0,9,1977,1994,34.0,235000
294,5,1644,2,3,418,3,1416,1644,3,1,0,7,1953,1953,238.0,167000
295,5,1003,2,3,588,3,1003,1003,3,1,2,6,1984,1984,0.0,142500
296,4,1558,1,3,282,3,910,910,3,1,2,6,1950,1950,0.0,152000
298,5,1743,2,2,539,3,702,1041,3,1,2,7,1968,1968,365.0,175000
299,5,1152,1,3,300,3,1092,1152,2,1,2,6,1950,2004,0.0,158500
300,4,1336,1,3,375,3,1165,1336,3,1,2,5,1953,1953,56.0,157000
301,7,2452,2,2,683,2,1028,1210,2,2,0,9,1998,1999,0.0,267000
302,6,1541,3,2,843,2,1541,1541,2,2,1,6,2001,2002,150.0,205000
303,4,894,2,3,552,3,894,894,3,1,2,5,1972,1972,0.0,149900
305,7,2000,3,2,888,2,2000,2000,2,2,0,8,2004,2005,246.0,305900
306,6,2243,3,2,746,2,700,1122,2,2,1,8,1990,1991,246.0,225000
307,5,1406,0,3,0,3,319,1035,1,1,3,6,1920,1950,0.0,89500
308,3,861,2,3,539,3,861,861,3,1,2,4,1940,1950,0.0,82500
310,5,1501,2,3,420,2,697,697,2,2,0,6,1993,1994,112.0,165600
311,5,972,1,3,240,3,972,972,3,1,2,5,1948,2002,0.0,132000
312,4,1118,2,3,410,2,793,793,3,1,2,5,1939,1950,0.0,119900
315,6,1432,2,2,432,2,716,716,2,2,0,6,2004,2005,0.0,188500
318,6,2646,3,2,656,2,1347,1372,2,2,1,9,1993,1993,256.0,260000
319,6,1472,2,3,588,2,1372,1472,3,2,2,6,1980,1980,225.0,187500
322,6,2730,2,2,576,3,1502,1553,2,2,0,8,1986,1987,172.0,301000
323,2,1163,1,3,220,3,1162,1163,3,1,2,6,1955,2005,0.0,126175
325,4,803,2,3,360,3,720,803,3,1,2,5,1941,1950,0.0,87000
326,7,1719,2,2,473,2,1719,1719,2,1,0,6,1993,1993,0.0,324000
327,5,1383,1,3,292,3,1383,1383,3,1,1,7,1960,1960,175.0,145250
328,5,2134,2,3,441,3,844,1445,2,2,2,10,1916,1994,0.0,214500
329,4,1192,1,3,189,3,596,596,3,1,2,6,1920,1950,0.0,78000
330,4,1728,1,3,352,3,1728,1728,3,2,2,10,1964,1964,84.0,119000
331,4,1056,1,3,308,3,1056,1056,3,1,1,6,1958,1992,0.0,139000
333,6,1358,2,2,484,2,1358,1358,2,2,1,6,2004,2004,146.0,207000
334,5,1638,2,3,472,2,943,943,3,2,0,7,1998,1998,0.0,192000
335,4,1786,2,3,529,3,1499,1619,3,2,0,7,1965,1965,0.0,228950
337,6,1536,2,2,532,2,1536,1536,2,2,1,7,2002,2003,113.0,214000
338,6,1621,2,2,440,2,1208,1621,2,2,1,8,1984,1998,0.0,202500
339,5,1215,1,3,297,3,1215,1215,3,1,2,6,1958,1998,176.0,155000
340,7,1908,2,2,431,2,967,993,2,2,0,9,2002,2002,0.0,202900
341,3,841,1,1,294,3,721,841,3,1,2,4,1950,1950,0.0,82000
344,4,1112,1,3,336,2,536,536,3,1,2,4,1976,1976,0.0,85000
345,5,1577,1,3,312,3,972,972,1,1,2,6,1939,1950,0.0,140200
346,5,958,1,3,301,3,958,958,3,1,1,5,1960,1998,0.0,151500
347,5,1478,2,3,498,3,1478,1478,3,2,2,6,1960,1960,30.0,157500
348,6,1626,2,2,474,2,764,764,2,2,1,6,2003,2004,106.0,154000
351,6,1453,2,3,445,2,1453,1453,2,1,1,6,1986,1986,0.0,190000
352,4,1111,1,3,200,3,616,616,3,1,2,5,1941,1950,0.0,95000
353,5,720,2,3,484,3,624,720,3,1,2,5,1928,2003,0.0,105900
354,5,1595,1,3,240,3,940,1192,3,1,2,6,1940,2000,0.0,140000
355,5,1200,2,2,521,2,1200,1200,2,2,1,6,1995,1995,0.0,177500
356,5,1167,2,3,400,2,1158,1167,2,2,1,6,1992,1992,106.0,173000
357,4,1142,2,3,528,2,1142,1142,3,1,0,6,1976,1976,0.0,134000
358,4,1352,1,3,288,3,1062,1352,2,1,2,6,1958,1958,120.0,130000
360,5,912,2,3,470,2,888,912,3,1,1,5,1978,1978,0.0,156000
361,4,1505,1,3,240,3,883,988,3,1,2,8,1940,1982,0.0,145000
364,5,1574,2,3,566,2,796,790,3,2,0,6,1976,1976,120.0,190000
365,4,1344,1,3,468,3,672,672,3,1,2,6,1920,1997,0.0,147000
366,5,1394,2,3,514,2,1394,1394,3,1,1,6,1963,1963,247.0,159000
367,5,1431,1,3,296,2,1099,1431,3,1,1,6,1962,1962,305.0,165000
368,4,1268,1,3,244,3,1268,1268,3,1,0,7,1954,1954,200.0,132000
369,4,1287,2,3,576,3,1063,1287,2,1,0,7,1959,2006,0.0,162000
370,5,1664,2,3,460,2,953,953,3,2,1,7,2000,2000,0.0,172400
